,portfolio_val,cash,paid_out_dividends,fees,taxes,num_buys,num_sells,num_adj,buy_vol,sell_vol,adj_vol
2021-06-11,104507.39259768606,4019.3053348650083,1.1745,0.0,0.4455000000000382,0,0,0,0.0,0.0,0.0
2021-06-14,103997.40977721538,4063.1395598650083,43.834224999999996,0.0,16.626775000000066,0,0,0,0.0,0.0,0.0
2021-06-15,104037.25558428216,4077.4220598650086,14.282499999999999,0.0,5.4174999999999045,0,0,0,0.0,0.0,0.0
2021-06-16,103236.56551048066,4077.4220598650086,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-06-17,101674.36644473074,4083.6628598650086,6.2408,0.0,2.3672000000000253,0,0,0,0.0,0.0,0.0
2021-06-18,99823.1320425112,4086.9906098650085,3.32775,0.0,1.2622499999999945,0,0,0,0.0,0.0,0.0
2021-06-21,101620.23338326658,4088.5674848650087,1.5768749999999998,0.0,0.5981249999999818,0,0,0,0.0,0.0,0.0
2021-06-22,101852.92284631851,4088.5674848650087,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-06-23,101761.47338395077,4088.5674848650087,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-06-24,102466.75922220561,4128.144509865008,39.577025,0.0,15.01197500000012,0,0,0,0.0,0.0,0.0
2021-06-25,103026.66574111444,4137.594884865009,9.450375,0.0,3.58462499999996,0,0,0,0.0,0.0,0.0
2021-06-28,102620.2050056213,4137.594884865009,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-06-29,102679.8728233545,4155.404509865009,17.809624999999997,0.0,6.755374999999958,0,0,0,0.0,0.0,0.0
2021-06-30,102761.95024520288,4155.883009865009,0.4784999999999999,0.0,0.1815000000000282,0,0,0,0.0,0.0,0.0
2021-07-01,103116.54280098212,2851.291583890037,1.5750625,1960.0,758.1311334639867,27,27,44,27115.81346511841,26472.30781360626,5783.928586006165
2021-07-02,103355.59238650357,2856.8436338900374,5.5520499999999995,0.0,2.105950000000121,0,0,0,0.0,0.0,0.0
2021-07-06,102563.11810177515,2866.6383838900374,9.794749999999999,0.0,3.715249999999969,0,0,0,0.0,0.0,0.0
2021-07-07,103152.14217847529,2866.6383838900374,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-07-08,101702.45912287883,2873.9811838900373,7.3428,0.0,2.7852000000000317,0,0,0,0.0,0.0,0.0
2021-07-09,103563.98544500356,2873.9811838900373,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-07-12,103789.3848236615,2873.9811838900373,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-07-13,102961.83706742703,2873.9811838900373,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-07-14,102833.5352910975,2883.6468838900373,9.6657,0.0,3.666300000000092,0,0,0,0.0,0.0,0.0
2021-07-15,102641.70269048365,2883.6468838900373,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-07-16,101903.01833758943,2883.6468838900373,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
