date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2021-01-04 00:00:00+00:00,596.63,610.59,593.71,605.94,56856,596.63,610.59,593.71,605.94,56856,0.0,1.0
2021-01-05 00:00:00+00:00,589.07,604.13,587.36,596.62,66239,589.07,604.13,587.36,596.62,66239,0.0,1.0
2021-01-06 00:00:00+00:00,629.75,631.37,599.59,599.59,80079,629.75,631.37,599.59,599.59,80079,0.0,1.0
2021-01-07 00:00:00+00:00,639.24,641.8,631.27,635.14,84799,639.24,641.8,631.27,635.14,84799,0.0,1.0
2021-01-08 00:00:00+00:00,631.31,641.03,624.38,638.0,55681,631.31,641.03,624.38,638.0,55681,0.0,1.0
2021-01-11 00:00:00+00:00,628.26,629.66,622.91,622.91,49602,628.26,629.66,622.91,622.91,49602,0.0,1.0
2021-01-12 00:00:00+00:00,626.9,638.6,624.38,625.79,59628,626.9,638.6,624.38,625.79,59628,0.0,1.0
2021-01-13 00:00:00+00:00,623.36,628.99,614.43,623.03,50076,623.36,628.99,614.43,623.03,50076,0.0,1.0
2021-01-14 00:00:00+00:00,615.52,627.09,613.795,627.09,51222,615.52,627.09,613.795,627.09,51222,0.0,1.0
2021-01-15 00:00:00+00:00,605.94,614.495,603.43,610.0,81824,605.94,614.495,603.43,610.0,81824,0.0,1.0
2021-01-19 00:00:00+00:00,601.21,610.67,600.69,609.87,57884,601.21,610.67,600.69,609.87,57884,0.0,1.0
2021-01-20 00:00:00+00:00,609.37,610.44,600.0,603.0,82332,609.37,610.44,600.0,603.0,82332,0.0,1.0
2021-01-21 00:00:00+00:00,591.54,610.78,591.44,607.71,61665,591.54,610.78,591.44,607.71,61665,0.0,1.0
2021-01-22 00:00:00+00:00,585.38,590.18,580.78,590.0,56419,585.38,590.18,580.78,590.0,56419,0.0,1.0
2021-01-25 00:00:00+00:00,586.57,590.83,579.04,582.65,49157,586.57,590.83,579.04,582.65,49157,0.0,1.0
2021-01-26 00:00:00+00:00,580.16,592.7698,579.13,591.49,42905,580.16,592.7698,579.13,591.49,42905,0.0,1.0
2021-01-27 00:00:00+00:00,564.76,579.13,563.57,572.34,65741,564.76,579.13,563.57,572.34,65741,0.0,1.0
2021-01-28 00:00:00+00:00,578.7,581.37,567.625,570.05,64798,578.7,581.37,567.625,570.05,64798,0.0,1.0
2021-01-29 00:00:00+00:00,566.85,575.29,563.47,574.09,61112,566.85,575.29,563.47,574.09,61112,0.0,1.0
2021-02-01 00:00:00+00:00,575.49,577.3,567.945,571.59,40593,575.49,577.3,567.945,571.59,40593,0.0,1.0
2021-02-02 00:00:00+00:00,586.24,592.305,578.515,582.51,70405,586.24,592.305,578.515,582.51,70405,0.0,1.0
2021-02-03 00:00:00+00:00,588.83,591.07,581.73,581.73,51834,588.83,591.07,581.73,581.73,51834,0.0,1.0
2021-02-04 00:00:00+00:00,595.88,601.12,587.34,589.28,44948,595.88,601.12,587.34,589.28,44948,0.0,1.0
2021-02-05 00:00:00+00:00,601.18,603.85,594.275,600.0,77844,601.18,603.85,594.275,600.0,77844,0.0,1.0
2021-02-08 00:00:00+00:00,604.69,604.69,599.54,603.38,53071,604.69,604.69,599.54,603.38,53071,0.0,1.0
2021-02-09 00:00:00+00:00,604.91,610.49,597.23,605.0,61715,604.91,610.49,597.23,605.0,61715,0.0,1.0
2021-02-10 00:00:00+00:00,601.98,607.62,600.25,607.62,52815,601.98,607.62,600.25,607.62,52815,0.0,1.0
