date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2021-01-04 00:00:00+00:00,9.12,9.27,9.04,9.2,2700519,8.1725698748,8.3069871424,8.1008806653,8.2442590842,2700519,0.0,1.0
2021-01-05 00:00:00+00:00,9.23,9.25,9.09,9.09,2257210,8.2711425377,8.2890648401,8.1456864212,8.1456864212,2257210,0.0,1.0
2021-01-06 00:00:00+00:00,9.1,9.17,8.92,9.16,4850379,8.1546475724,8.2173756306,7.9933468512,8.2084144795,4850379,0.0,1.0
2021-01-07 00:00:00+00:00,9.15,9.2,9.06,9.16,3273702,8.1994533283,8.2442590842,8.1188029677,8.2084144795,3273702,0.0,1.0
2021-01-08 00:00:00+00:00,9.24,9.26,9.13,9.2,4361085,8.2801036889,8.2980259913,8.1815310259,8.2442590842,4361085,0.0,1.0
2021-01-11 00:00:00+00:00,9.14,9.16,9.01,9.07,3239941,8.1904921771,8.2084144795,8.0739972118,8.1277641189,3239941,0.0,1.0
2021-01-12 00:00:00+00:00,9.17,9.21,9.115,9.17,2276501,8.2173756306,8.2532202354,8.1680892992,8.2173756306,2276501,0.0,1.0
2021-01-13 00:00:00+00:00,9.07,9.15,9.055,9.11,3004879,8.1277641189,8.1994533283,8.1143223921,8.1636087236,3004879,0.0,1.0
2021-01-14 00:00:00+00:00,9.44,9.455,9.15,9.2,4742991,8.4593267125,8.4727684392,8.1994533283,8.2442590842,4742991,0.0,1.0
2021-01-15 00:00:00+00:00,9.26,9.375,9.24,9.34,3824419,8.2980259913,8.4010792298,8.2801036889,8.3697152007,3824419,0.0,1.0
2021-01-19 00:00:00+00:00,9.23,9.315,9.16,9.26,3213820,8.2711425377,8.3473123227,8.2084144795,8.2980259913,3213820,0.0,1.0
2021-01-20 00:00:00+00:00,9.25,9.27,9.155,9.25,3934835,8.2890648401,8.3069871424,8.2039339039,8.2890648401,3934835,0.0,1.0
2021-01-21 00:00:00+00:00,9.17,9.24,9.07,9.12,5224788,8.2173756306,8.2801036889,8.1277641189,8.1725698748,5224788,0.0,1.0
2021-01-22 00:00:00+00:00,9.05,9.105,8.96,9.03,3097148,8.1098418165,8.159128148,8.0291914559,8.0919195142,3097148,0.0,1.0
2021-01-25 00:00:00+00:00,9.16,9.19,9.08,9.12,3066412,8.2084144795,8.235297933,8.13672527,8.1725698748,3066412,0.0,1.0
2021-01-26 00:00:00+00:00,9.21,9.32,9.145,9.23,3153149,8.2532202354,8.3517928983,8.1949727527,8.2711425377,3153149,0.0,1.0
