date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2021-01-04 00:00:00+00:00,77.74,79.03,76.55,78.4,2180674,76.6113458359,77.8826172037,75.4386226362,77.261763745,2180674,0.0,1.0
2021-01-05 00:00:00+00:00,78.21,78.5,77.34,77.5,1123622,77.0745222257,77.360311913,76.2171531638,76.3748302326,1123622,0.0,1.0
2021-01-06 00:00:00+00:00,78.83,78.95,76.52,76.74,1807083,77.6855208676,77.8037786692,75.4090581858,75.6258641555,1807083,0.0,1.0
2021-01-07 00:00:00+00:00,79.63,80.0,78.395,78.395,1824499,78.4739062119,78.8385344337,77.2568363366,77.2568363366,1824499,0.0,1.0
2021-01-08 00:00:00+00:00,79.86,80.0,78.37,79.5,1586941,78.7005669984,78.8385344337,77.2321992946,78.3457935935,1586941,0.0,1.0
2021-01-11 00:00:00+00:00,78.88,79.8,78.45,79.65,1343690,77.7347949516,78.6414380976,77.311037829,78.4936158455,1343690,0.0,1.0
2021-01-12 00:00:00+00:00,78.93,79.19,78.28,78.79,1151083,77.7840690356,78.0402942725,77.1435059433,77.6461016004,1151083,0.0,1.0
2021-01-13 00:00:00+00:00,80.65,80.82,78.8686,79.01,2375537,79.4790975259,79.6466294116,77.7235604604,77.8629075701,2375537,0.0,1.0
2021-01-14 00:00:00+00:00,80.33,81.75,80.23,80.43,2281977,79.1637433882,80.5631273744,79.0651952202,79.2622915563,2281977,0.0,1.0
2021-01-15 00:00:00+00:00,80.21,80.47,79.08,80.12,1453908,79.0454855866,79.3017108235,77.9318912877,78.9567922353,1453908,0.0,1.0
2021-01-19 00:00:00+00:00,79.51,80.0261,78.76,79.38,1332912,78.3556484103,78.8642555055,77.61653715,78.2275357918,1332912,0.0,1.0
2021-01-20 00:00:00+00:00,79.74,80.0,78.8,79.08,1184177,78.5823091968,78.8385344337,77.6559564172,77.9318912877,1184177,0.0,1.0
2021-01-21 00:00:00+00:00,79.62,80.17,79.41,79.62,964341,78.4640513951,79.0060663193,78.2571002422,78.4640513951,964341,0.0,1.0
2021-01-22 00:00:00+00:00,79.9,80.26,79.21,79.64,1312509,78.7399862656,79.0947596706,78.0600039061,78.4837610287,1312509,0.0,1.0
2021-01-25 00:00:00+00:00,80.5,81.36,79.755,79.85,1525629,79.3312752739,80.178789519,78.597091422,78.6907121816,1525629,0.0,1.0
2021-01-26 00:00:00+00:00,81.33,81.44,79.93,80.66,1010765,80.1492250686,80.2576280535,78.769550716,79.4889523427,1010765,0.0,1.0
2021-01-27 00:00:00+00:00,83.3,84.059,80.9,80.9,3087879,82.0906239791,82.8386045745,79.7254679461,79.7254679461,3087879,0.0,1.0
2021-01-28 00:00:00+00:00,80.66,84.2,80.62,83.12,2149602,79.4889523427,82.9775574914,79.4495330755,81.9132372766,2149602,0.0,1.0
2021-01-29 00:00:00+00:00,80.11,81.255,79.25,80.12,1492443,78.9469374185,80.0753139426,78.0994231734,78.9567922353,1492443,0.0,1.0
2021-02-01 00:00:00+00:00,80.09,80.76,79.47,80.76,1270560,78.9272277849,79.5875005108,78.316229143,79.5875005108,1270560,0.0,1.0
2021-02-02 00:00:00+00:00,80.48,82.06,80.435,80.54,1167345,79.3115656403,80.8686266953,79.2672189647,79.3706945411,1167345,0.0,1.0
2021-02-03 00:00:00+00:00,79.74,80.65,79.2,80.35,1067015,78.5823091968,79.4790975259,78.0501490893,79.1834530218,1067015,0.0,1.0
2021-02-04 00:00:00+00:00,80.09,81.26,79.608,80.04,991700,78.9272277849,80.080241351,78.4522256149,78.8779537009,991700,0.0,1.0
2021-02-05 00:00:00+00:00,79.82,80.85,79.695,80.78,928485,78.6611477312,79.676193862,78.5379625211,79.6072101444,928485,0.0,1.0
